"","Content","nr","valmn","valsd","aromn","arosd","dom1mn","dom1sd","dom2mn","dom2sd","set","Condition","Emotion"
"1","War",2683,2.62,1.78,6.21,2.15,NA,NA,3.43,2.4,13,"RET_SEEN","Negative"
"2","DeerHead",2981,2.76,1.94,5.97,2.12,NA,NA,4.16,2.4,14,"RET_SEEN","Negative"
"3","Gold",3005,5.98,1.9,4.84,2.18,NA,NA,5.97,1.97,13,"RET_SEEN","Negative"
"4","Accident",3015,1.52,0.95,5.9,2.82,2.84,2.13,NA,NA,11,"RET_SEEN","Negative"
"5","Mutilation",3064,1.45,0.97,6.41,2.62,2.63,2.04,NA,NA,10,"RET_SEEN","Negative"
"6","Mutilation",3069,1.7,1.41,7.03,2.41,NA,NA,2.62,2.3,13,"RET_SEEN","Negative"
"7","Injury",3103,2.07,1.27,6.06,2.3,3.37,2,NA,NA,18,"RET_SEEN","Negative"
"8","Mutilation",3130,1.58,1.24,6.97,2.07,3.46,2.07,NA,NA,1,"RET_SEEN","Negative"
"9","Mutilation",3168,1.56,1.06,6,2.46,3.24,2.31,NA,NA,11,"RET_SEEN","Negative"
"10","Surgery",3212,2.79,1.67,6.57,1.99,4.07,2.25,NA,NA,19,"RET_SEEN","Negative"
"11","Tumor",3261,1.82,1.34,5.75,2.64,3.57,2.38,NA,NA,9,"RET_SEEN","Negative"
"12","Attack",3530,1.8,1.32,6.82,2.09,2.81,1.97,NA,NA,6,"RET_SEEN","Negative"
"13","Attack",6370,2.7,1.52,6.44,2.19,3,1.87,NA,NA,5,"RET_SEEN","Negative"
"14","Attack",6510,2.46,1.58,6.96,2.09,2.81,2.12,NA,NA,6,"RET_SEEN","Negative"
"15","Gang",6821,2.38,1.72,6.29,2.02,3.29,2.36,NA,NA,10,"RET_SEEN","Negative"
"16","Police",6834,2.91,1.73,6.28,1.9,3.9,2.28,NA,NA,12,"RET_SEEN","Negative"
"17","Boxer",8230,2.95,1.88,5.91,2.15,4.05,2.36,NA,NA,4,"RET_SEEN","Negative"
"18","HurtDog",9183,1.69,1.1,6.58,2.12,2.96,1.85,NA,NA,17,"RET_SEEN","Negative"
"19","WarVictim",9250,2.57,1.39,6.6,1.87,3.73,1.94,NA,NA,3,"RET_SEEN","Negative"
"20","Vomit",9321,2.81,2.14,6.24,2.23,3.9,2.35,NA,NA,19,"RET_SEEN","Negative"
"21","Hanging",9413,1.76,1.08,6.81,2.09,2.75,2.21,NA,NA,19,"RET_SEEN","Negative"
"22","DeadMan",9433,1.84,1.19,5.89,2.6,3.37,2.16,NA,NA,10,"RET_SEEN","Negative"
"23","Skinhead",9800,2.04,1.57,6.05,2.71,4.92,2.52,NA,NA,5,"RET_SEEN","Negative"
"24","CarAccident",9904,2.39,1.36,6.08,2.06,3.4,2.21,NA,NA,19,"RET_SEEN","Negative"
"25","Fire",9921,2.04,1.47,6.52,1.94,3.57,2.41,2.94,1.72,7,"RET_SEEN","Negative"
"26","Gannet",1450,6.37,1.62,2.83,1.87,6.75,1.87,NA,NA,1,"RET_SEEN","Neutral"
"27","NeuWoman",2038,5.09,1.35,2.94,1.93,NA,NA,6.36,1.85,16,"RET_SEEN","Neutral"
"28","Girl",2320,6.17,1.51,2.9,1.89,6.66,1.81,NA,NA,10,"RET_SEEN","Neutral"
"29","Chess",2580,5.71,1.41,2.79,1.78,5.88,1.89,NA,NA,9,"RET_SEEN","Neutral"
"30","Satellite",5471,5.21,1.18,3.26,2.05,NA,NA,5.63,1.82,16,"RET_SEEN","Neutral"
"31","Farmland",5720,6.31,1.6,2.79,2.2,5.58,2.15,NA,NA,5,"RET_SEEN","Neutral"
"32","Nature",5750,6.6,1.84,3.14,2.25,6.82,2.25,NA,NA,1,"RET_SEEN","Neutral"
"33","Buttons",7001,5.32,1.19,3.2,2.15,5.82,2.02,NA,NA,17,"RET_SEEN","Neutral"
"34","GasCan",7011,4.52,1.16,3.81,1.67,4.99,1.78,NA,NA,17,"RET_SEEN","Neutral"
"35","Scissors",7014,5.15,0.97,3.25,2.03,6.21,1.86,NA,NA,18,"RET_SEEN","Neutral"
"36","Video",7017,5.18,1.07,3.12,1.97,5.93,1.94,NA,NA,18,"RET_SEEN","Neutral"
"37","Iron",7030,4.69,1.04,2.99,2.09,5.73,2,NA,NA,6,"RET_SEEN","Neutral"
"38","Mug",7035,4.98,0.96,2.66,1.82,6.39,1.94,NA,NA,8,"RET_SEEN","Neutral"
"39","Baskets",7041,4.99,1.12,2.6,1.78,NA,NA,6.35,2.14,14,"RET_SEEN","Neutral"
"40","HairDryer",7050,4.93,0.81,2.75,1.8,5.82,1.93,NA,NA,2,"RET_SEEN","Neutral"
"41","Lightbulb",7055,4.9,0.64,3.02,1.83,NA,NA,5.73,1.86,15,"RET_SEEN","Neutral"
"42","TrashCan",7060,4.43,1.16,2.55,1.77,5.85,2.1,NA,NA,2,"RET_SEEN","Neutral"
"43","Bus",7140,5.5,1.42,2.92,2.38,5.45,1.78,NA,NA,6,"RET_SEEN","Neutral"
"44","Fabric",7160,5.02,1.1,3.07,2.07,5.8,1.97,NA,NA,9,"RET_SEEN","Neutral"
"45","Rug",7179,5.06,1.05,2.88,1.97,NA,NA,6.1,2.07,14,"RET_SEEN","Neutral"
"46","AbstractArt",7188,5.5,1.12,4.28,2.16,NA,NA,5.61,1.94,16,"RET_SEEN","Neutral"
"47","ClothesRack",7217,4.82,0.99,2.43,1.64,6.25,1.86,NA,NA,8,"RET_SEEN","Neutral"
"48","Building",7500,5.33,1.44,3.26,2.18,5.17,2.05,NA,NA,2,"RET_SEEN","Neutral"
"49","Office",7700,4.25,1.45,2.95,2.17,5.13,2.45,NA,NA,4,"RET_SEEN","Neutral"
"50","EmptyPool",9360,4.03,1.38,2.63,1.75,5.34,2.08,NA,NA,10,"RET_SEEN","Neutral"
