"","Content","nr","valmn","valsd","aromn","arosd","dom1mn","dom1sd","dom2mn","dom2sd","set","Condition","Emotion"
"1","Kiss",2352,6.94,1.87,4.99,1.98,6.32,1.68,NA,NA,8,"RET_UNSEEN_NEW","Negative"
"2","NativeBoy",2730,2.45,2.25,6.8,2.21,3.94,2.55,NA,NA,4,"RET_UNSEEN_NEW","Negative"
"3","Mutilation",3000,1.45,1.2,7.26,2.1,2.99,2.1,NA,NA,1,"RET_UNSEEN_NEW","Negative"
"4","Mutilation",3010,1.71,1.19,7.16,2.24,2.88,2.41,NA,NA,2,"RET_UNSEEN_NEW","Negative"
"5","Mutilation",3030,1.91,1.56,6.76,2.1,3.69,2.1,NA,NA,1,"RET_UNSEEN_NEW","Negative"
"6","Mutilation",3068,1.8,1.56,6.77,2.49,NA,NA,2.51,2.22,13,"RET_UNSEEN_NEW","Negative"
"7","Mutilation",3080,1.48,0.95,7.22,1.97,2.85,2.1,NA,NA,6,"RET_UNSEEN_NEW","Negative"
"8","DeadBody",3120,1.56,1.09,6.84,2.36,3.32,2.36,NA,NA,1,"RET_UNSEEN_NEW","Negative"
"9","Mutilation",3131,1.51,0.97,6.61,2.34,2.73,1.93,NA,NA,17,"RET_UNSEEN_NEW","Negative"
"10","Stitches",3195,2.06,1.23,6.36,2.25,3.55,2.15,NA,NA,20,"RET_UNSEEN_NEW","Negative"
"11","Surgery",3213,2.96,1.94,6.82,2,3.92,2.44,NA,NA,20,"RET_UNSEEN_NEW","Negative"
"12","Attack",3500,2.21,1.34,6.99,2.19,2.4,1.88,NA,NA,5,"RET_UNSEEN_NEW","Negative"
"13","Soldier",6212,2.19,1.49,6.01,2.44,3.45,2.1,NA,NA,8,"RET_UNSEEN_NEW","Negative"
"14","DeadTiger",6415,2.21,1.51,6.2,2.31,NA,NA,3.79,2.47,13,"RET_UNSEEN_NEW","Negative"
"15","Attack",6520,1.94,1.27,6.59,2.08,2.88,2.16,NA,NA,19,"RET_UNSEEN_NEW","Negative"
"16","Guns",6830,2.82,1.81,6.21,2.23,3.67,2.5,2.92,1.86,7,"RET_UNSEEN_NEW","Negative"
"17","Police",6838,2.45,1.44,5.8,2.09,3.79,2.08,NA,NA,11,"RET_UNSEEN_NEW","Negative"
"18","PlaneCrash",9050,2.43,1.61,6.36,1.97,3.27,2.06,NA,NA,2,"RET_UNSEEN_NEW","Negative"
"19","InjuredDog",9187,1.81,1.36,6.45,2.3,3.17,2.11,NA,NA,20,"RET_UNSEEN_NEW","Negative"
"20","DeadBody",9252,1.98,1.59,6.64,2.33,2.92,2.28,2.77,1.82,7,"RET_UNSEEN_NEW","Negative"
"21","DeadMan",9412,1.83,1.37,6.72,2.07,3,2.32,NA,NA,19,"RET_UNSEEN_NEW","Negative"
"22","Assault",9425,2.67,1.44,5.92,2.13,NA,NA,3.22,2.12,15,"RET_UNSEEN_NEW","Negative"
"23","Porpoises",9500,2.42,1.73,5.82,2.29,3.42,2.31,NA,NA,4,"RET_UNSEEN_NEW","Negative"
"24","KKKrally",9810,2.09,1.78,6.62,2.26,3.95,2.5,NA,NA,6,"RET_UNSEEN_NEW","Negative"
"25","CarAccident",9908,2.34,1.49,6.63,2.13,2.79,2.12,NA,NA,20,"RET_UNSEEN_NEW","Negative"
"26","Parrots",1333,6.11,1.5,3.17,1.97,NA,NA,6.29,2.04,13,"RET_UNSEEN_NEW","Neutral"
"27","Grouper",1910,6.71,1.8,3.29,2.29,6.44,2.13,NA,NA,4,"RET_UNSEEN_NEW","Neutral"
"28","Fingerprint",2206,4.06,1.4,3.71,2.03,4.46,2.36,NA,NA,10,"RET_UNSEEN_NEW","Neutral"
"29","Factoryworker",2393,4.87,1.06,2.93,1.88,NA,NA,5.83,2.06,13,"RET_UNSEEN_NEW","Neutral"
"30","Rocks",5130,4.45,1.13,2.51,1.72,5.84,1.98,NA,NA,10,"RET_UNSEEN_NEW","Neutral"
"31","Field",5711,6.62,1.65,3.03,1.96,NA,NA,6.35,1.97,13,"RET_UNSEEN_NEW","Neutral"
"32","Field",5725,7.09,1.41,3.55,2.32,6.23,2.31,NA,NA,18,"RET_UNSEEN_NEW","Neutral"
"33","Leaves",5800,6.36,1.7,2.51,2.01,5.72,2.03,NA,NA,6,"RET_UNSEEN_NEW","Neutral"
"34","Disk",7003,5,1.22,3.07,1.98,6.02,1.87,NA,NA,17,"RET_UNSEEN_NEW","Neutral"
